Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,45.553741,49.422543,44.872616,49.095600,47.614208,10963906
2016-01-04,48.768658,50.158157,45.907928,46.371094,44.971912,9408965
2016-01-05,46.670792,48.823151,45.880684,48.278248,46.821522,9801814
2016-01-06,47.951309,48.468964,46.480076,46.997730,45.579639,7093448
2016-01-07,46.262115,46.262115,42.502296,43.564854,42.250347,8919023
2016-01-08,44.681900,45.226803,43.946285,44.681900,43.333683,6409374
2016-01-11,44.136997,45.717213,42.992706,44.872616,43.518646,7610929
2016-01-12,44.872616,45.635475,43.319649,44.028019,42.699535,7187524
2016-01-13,44.572922,46.643543,42.066376,44.055264,42.725952,14813664
2016-01-14,43.019951,44.136997,42.148109,42.393314,41.114155,8517248
2016-01-15,42.720257,43.483116,40.268200,40.540649,39.317390,6162841
2016-01-18,40.213711,40.486160,37.162262,38.197575,37.045013,6988884
2016-01-19,38.987682,40.104729,38.088596,39.505341,38.313320,5936602
2016-01-20,38.442780,39.014927,36.753586,37.489204,36.358017,5302168
2016-01-21,38.361046,39.205643,37.053284,37.925125,36.780788,6301101
2016-01-22,38.497272,40.595142,38.497272,40.186466,38.973900,6412547
2016-01-25,40.567898,41.085552,39.614319,40.377182,39.158859,3702771
2016-01-27,40.758610,40.976570,39.668808,39.914017,38.709663,3456780
2016-01-28,40.131973,40.295444,38.987682,39.260132,38.075508,3743917
2016-01-29,39.260132,39.968506,38.252068,39.696053,38.498280,4584955
2016-02-01,40.077484,42.665768,39.995750,40.622387,39.396660,14301204
2016-02-02,40.431671,40.731365,38.796967,39.260132,38.075508,4281060
2016-02-03,40.404427,40.595142,38.796967,39.205643,38.022663,9088526
2016-02-04,39.614319,40.104729,38.769722,39.369114,38.181206,4395526
2016-02-05,39.396358,40.704121,39.123909,40.159222,38.947475,4563542
2016-02-08,40.567898,43.428627,39.941261,41.140041,39.898701,12827236
2016-02-09,40.567898,41.412495,39.505341,40.867592,39.634472,7145205
2016-02-10,40.322689,40.595142,39.123909,39.423603,38.234055,5444984
2016-02-11,39.505341,39.614319,36.263176,36.998795,35.882408,6162865
2016-02-12,37.543694,37.543694,33.511425,34.982658,33.927105,8247087
2016-02-15,35.854500,37.271244,35.146130,35.609295,34.534832,8626379
2016-02-16,36.181442,36.344910,34.138062,34.356022,33.319374,7678551
2016-02-17,34.410511,34.764698,32.966522,34.356022,33.319374,6460857
2016-02-18,34.873676,35.227863,33.375198,34.110817,33.081566,5831539
2016-02-19,34.110817,34.628471,33.702141,34.301533,33.266529,4855147
2016-02-22,34.764698,34.873676,33.647652,33.947346,32.923031,4339569
2016-02-23,34.219795,34.247044,32.830299,33.184483,32.183186,5223434
2016-02-24,33.075504,34.219795,32.476112,33.293465,32.288883,6110278
2016-02-25,33.647652,33.783875,32.612339,32.803055,31.813271,5504340
2016-02-26,33.266220,33.565914,32.230907,32.966522,31.971802,4739308
2016-02-29,33.075504,33.402447,31.713251,32.012947,31.047001,8277215
2016-03-01,32.149174,33.456936,31.931211,33.102749,32.103916,6846633
2016-03-02,33.783875,34.900925,33.293465,34.029079,33.002304,9313684
2016-03-03,34.328777,34.601227,33.429691,34.056328,33.028728,7706783
2016-03-04,34.328777,35.227863,34.056328,34.437756,33.398643,9013442
2016-03-08,34.601227,35.146130,33.920101,34.900925,33.847836,11091171
2016-03-09,34.601227,36.426647,34.383266,36.181442,35.089714,7364105
2016-03-10,36.535625,36.780830,35.364090,35.527561,34.455566,5795786
2016-03-11,35.527561,36.399403,35.309601,35.663784,34.587681,4388832
2016-03-14,35.990726,36.317665,35.227863,35.827255,34.746216,9639983
2016-03-15,36.126949,36.998795,35.963482,36.290421,35.195408,13157445
2016-03-16,36.998795,37.216751,35.582050,36.017971,34.931179,6623525
2016-03-17,36.508381,37.652676,36.126949,36.699097,35.591751,6197000
2016-03-18,36.808079,37.843391,36.671852,37.543694,36.410870,4953618
2016-03-21,37.107773,37.870636,36.944302,37.380222,36.252327,4441860
